223	Brazilian	NS da Conceiçao	Miranda, Manoel Joaquim de	Bight of Benin	Bight of Benin
224	Portuguese	Afra	Neves, Pascoal de Souza	West-central Africa	West-central Africa
225	Brazilian	Amazona	Batista, Martinho José	Bight of Benin	Bight of Benin
226	Brazilian	Uniao	Cruz, Marcelino Álvares da	Bight of Benin	Bight of Benin
227	Portuguese	Maria da Glória	Fonseca, Joao José da	West-central Africa	West-central Africa
228	Brazilian	Divina Providencia	Coelho, Joao Batista	Bight of Benin	Bight of Benin
229	Brazilian	Constituçao	Araújo, Joaquim Luís de	Bight of Benin	Bight of Benin
230	Brazilian	Lusitânia	Neto, Miguel Antônio	Bight of Benin	Bight of Benin
231	French	Trident	Borbascan, T	Bight of Biafra	Bight of Biafra
232	French	Théodore	Lecuyer, J L	Bight of Biafra	Bight of Biafra
234	Portuguese	Trajano	Carvalho, Francisco Cândido da Silva e	West-central Africa	West-central Africa
235	Portuguese	Caçador	Vieira, Manoel	West-central Africa	West-central Africa
236	Portuguese	Mercúrio	Santos, José Joaquim dos	West-central Africa	West-central Africa
237	Portuguese	Patrocínio	SIlva, Manoel Francisco da	West-central Africa	West-central Africa
238	Portuguese	Tejo	Oliveira, Joao José de	West-central Africa	West-central Africa
239	Portuguese	Quatro de Abril	Silva, Joaquim Rodrigues da	West-central Africa	West-central Africa
240	Portuguese	Especulaçao	Silva, Manoel Pacheco da	West-central Africa	West-central Africa
241	Portuguese	Lucônia	Costa, Desidério Manoel da	South-east Africa	South-east Africa
242	Portuguese	Duque de Bragança	Gomes, Manoel José	South-east Africa	South-east Africa
243	Portuguese	Paquete do Rio	Santos, Casemiro Lúcio dos	South-east Africa	South-east Africa
245	Portuguese	Minerva	Cardoso, Manoel	South-east Africa	South-east Africa
246	Portuguese	Júlia	Cunha, Eusébio José da	South-east Africa	South-east Africa
247	Portuguese	Feliz Carlota	Oliveira, Ventura José de	South-east Africa	South-east Africa
248	Portuguese	Pastora de Lima	Luz, Antônio da	South-east Africa	South-east Africa
249	Portuguese	Elisa	Silva, Manoel Inácio da	West-central Africa	West-central Africa
250	Portuguese	Maria Tomásia	Magalhaes, Joao de Melo	West-central Africa	West-central Africa
251	Portuguese	Leopoldina	Silva, Joao Henriques da	South-east Africa	South-east Africa
252	Portuguese	Esperança	Loureiro, Joaquim José da Silva	South-east Africa	South-east Africa
253	Portuguese	S Rosa	Faria, Manoel de Jesus	West-central Africa	West-central Africa
254	Portuguese	S José Diligente Vulcano	Oliveira, José Malaquias de	West-central Africa	West-central Africa
255	Portuguese	NS da Guia Morgado do Almeo	Silva, José Jorge da	South-east Africa	South-east Africa
256	Portuguese	Grao Penedo	Oliveira, Sérgio Ferreira de	South-east Africa	South-east Africa
